MetaboliteName;KEGG_Pathways_Total_Metabolites;KEGG.ID;CommonName;CAS;PubChem;ChEBI;mzPos;mzNEG;RT;PathwayID;PathwayName;"PathwayClass;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Adenosine;Adenosine;C00212;Adenosine;58-61-7;3512;16335;268.10403;266.08948;3.48;"hsa00230; hsa02010; hsa04022; hsa04024; hsa04071; hsa04080; hsa04270; hsa04923; hsa04924; hsa05012; hsa05032; hsa05034";"Purine metabolism; ABC transporters; cGMP-PKG signaling pathway; cAMP signaling pathway; Sphingolipid signaling pathway; Neuroactive ligand-receptor interaction; Vascular smooth muscle contraction; Regulation of lipolysis in adipocytes; Renin secretion; Parkinson disease; Morphine addiction; Alcoholism";"Metabolism; Nucleotide metabolism; Environmental Information Processing; Membrane transport; Signal transduction; Signaling molecules and interaction; Organismal Systems; Circulatory system; Endocrine system; Human Diseases; Neurodegenerative disease; Substance dependence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
L-Homocystine;NA;C01817;"L-Homocystine; Homocystine";626-72-2;4941;14 169 817 485;269.06242;267.04787;7.62;hsa00270;Cysteine and methionine metabolism;"Metabolism; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Inosine;Inosine;C00294;Inosine;58-63-9;3588;17596;269.08805;267.07349;5.22;"hsa00230; hsa02010";"Purine metabolism; ABC transporters";"Metabolism; Nucleotide metabolism; Environmental Information Processing; Membrane transport;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
N-Acetyl-L-carnosine;NA;NA;NA;NA;NA;NA;269.12443;267.10988;0;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
"Naringenin,NA,C00509,""Naringenin; 4'";5;"7-Trihydroxyflavanone; (2S)-Naringenin;"" (-)-(2S)-Naringenin""""";480-41-1;3792;17846;273.07575;271.0612;2.21;NA;NA;"NA"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;
17a-Estradiol;NA;C02537;"Estradiol-17alpha; 17alpha-Estradiol";57-91-0;5544;17160;273.18491;271.17035;0;hsa00140;Steroid hormone biosynthesis;"Metabolism; Lipid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
"Linoleic acid,Linoleate,C01595,""Linoleate; Linoleic acid; (9Z";"12Z)-Octadecadienoic acid; 9-cis";"12-cis-Octadecadienoate;"" 9-cis";"12-cis-Octadecadienoic acid""""";60-33-3;4750;1 735 130 245;281.24751;279.23295;0;"hsa00591""; hsa01040";"Linoleic acid metabolism; Biosynthesis of unsaturated fatty acids";"Metabolism; Lipid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
1-Methyladenosine;NA;C02494;1-Methyladenosine;15763-06-1;5506;16020;282.11968;280.10513;3.83;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
2-O-Methylinosine;NA;NA;NA;NA;NA;NA;283.1037;281.08914;3.23;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Guanosine;Guanosine;C00387;Guanosine;118-00-3;3677;16750;284.09895;282.08439;6.17;"hsa00230; hsa02010";"Purine metabolism; ABC transporters";"Metabolism; Nucleotide metabolism; Environmental Information Processing; Membrane transport;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Xanthosine;Xanthosine;C01762;Xanthosine;146-80-5;4895;18107;285.08296;283.06841;5.98;"hsa00230; hsa00232; hsa02010";"Purine metabolism; Caffeine metabolism; ABC transporters";"Metabolism; Nucleotide metabolism; Biosynthesis of other secondary metabolites; Environmental Information Processing; Membrane transport;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Stearic acid;Octadecanoic acid;C01530;"Octadecanoic acid; Stearate; Stearic acid";57-11-4;4692;2 562 928 842;285.27881;283.26425;0;"hsa00061; hsa01040";"Fatty acid biosynthesis; Biosynthesis of unsaturated fatty acids";"Metabolism; Lipid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
N4-Acetylcytidine;NA;C22293;N4-Acetylcytidine;3768-18-1;NA;NA;286.10336;284.08881;3.11;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
"kaempferol,NA,C05903,""Kaempferol; 3";4';5;"7-Tetrahydroxyflavone; 3";5;"7-Trihydroxy-2-(4-hydroxyphenyl)-4H-1-benzopyran-4-one; 5";7;"4'-Trihydroxyflavonol; C.I. 75640; Indigo yellow; Kaempherol; Kempferol; Nimbecetin; Pelargidenolon; Populnetin; Rhamnolutein; Rhamnolutin; Robigenin; Swartziol;"" Trifolitin""""";520-18-3;8191;28499;287.05501;285.04046;8.78;NA;NA;"NA"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;
Hexadecanedioic acid;NA;C19615;"Hexadecanedioate; Hexadecanedioic acid";NA;135626103;73722;287.22169;285.20713;2.06;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Octanoylcarnitine;NA;NA;NA;NA;NA;NA;288.21693;286.20238;2.14;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
3-b-Hydroxyandrost-5-en-17-one (Dehydroepiandrosterone);NA;NA;NA;NA;NA;NA;289.21621;287.20165;1.9;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
trans-Dehydroandrosterone (DHEA);Dehydroepiandrosterone;C01227;"Dehydroepiandrosterone; 3beta-Hydroxyandrost-5-en-17-one; Dehydroisoandrosterone; DHA; DHEA";53-43-0;4449;28689;289.21621;287.20165;0;"hsa00140; hsa04913; hsa05200; hsa05215";"Steroid hormone biosynthesis; Ovarian steroidogenesis; Pathways in cancer; Prostate cancer";"Metabolism; Lipid metabolism; Organismal Systems; Endocrine system; Human Diseases; Cancer: overview; Cancer: specific types;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
(+)-Catechin hydrate;NA;NA;NA;NA;NA;NA;291.08631;289.07176;3.5;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Argininosuccinic acid hydrate disodium salt;NA;NA;NA;NA;NA;NA;291.12991;289.11536;8.67;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
5?-androsterone;Androsterone;C00523;"Androsterone; 3alpha-Hydroxy-5alpha-androstan-17-one";53-41-8;3806;16032;291.23186;289.2173;1.91;hsa00140;Steroid hormone biosynthesis;"Metabolism; Lipid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
5?-androsterone;Etiocholanolone;C04373;"Etiocholanolone; 3alpha-Hydroxy-5beta-androstan-17-one; Etiocholan-3alpha-ol-17-one; 3alpha-Hydroxyetiocholan-17-one";53-42-9;7015;28195;291.23186;289.2173;1.91;hsa00140;Steroid hormone biosynthesis;"Metabolism; Lipid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Androsterone;Androsterone;C00523;"Androsterone; 3alpha-Hydroxy-5alpha-androstan-17-one";53-41-8;3806;16032;291.23186;289.2173;1.92;hsa00140;Steroid hormone biosynthesis;"Metabolism; Lipid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Octyl ?-D-glucopyranoside;NA;NA;NA;NA;NA;NA;293.19587;291.18131;2.03;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
17a-Ethynylestradiol;NA;C07534;"Ethynyl estradiol; 17alpha-Ethinyl estradiol; Ethinyl estradiol; Ethinylestradiol";57-63-6;9737;4903;297.18491;295.17035;0;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Hydrochlorothiazide;NA;C07041;Hydrochlorothiazide;58-93-5;9253;5778;297.97175;295.9572;2.52;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
5'-Deoxy-5'-(methylthio)adenosine;5'-Methylthioadenosine;C00170;"5'-Methylthioadenosine; Methylthioadenosine; S-Methyl-5'-thioadenosine; 5-Methylthioadenosine; 5'-Deoxy-5'-(methylthio)adenosine; Thiomethyladenosine; MTA; 5'-Deoxy-5'-(methylsulfanyl)adenosine";2457-80-9;3470;17 509 180 963;298.09684;296.08228;2.66;hsa00270;Cysteine and methionine metabolism;"Metabolism; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
2-Methylguanosine (N2-Methylguanosine);NA;NA;NA;NA;NA;NA;298.1146;296.10004;4.54;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
2'-O-Methylguanosine;NA;NA;NA;NA;NA;NA;298.1146;296.10004;3.84;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
7-Methylguanosine;NA;C20674;N7-Methylguanosine;20244-86-4;172232394;NA;298.1146;296.10004;6.29;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Thiamine;Thiamine;C00378;"Thiamine; Thiamin; Vitamin B1; Aneurin; Antiberiberi factor";NA;3668;18385;301.08844;299.07388;0;"hsa00730; hsa02010; hsa04122; hsa04977";"Thiamine metabolism; ABC transporters; Sulfur relay system;"" Vitamin digestion and absorption";"Metabolism""; Metabolism of cofactors and vitamins; Environmental Information Processing; Membrane transport; Genetic Information Processing; Folding";" sorting and degradation; Organismal Systems;"" Digestive system"""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;
"all-trans-Retinoic acid,Retinoate,C00777,""Retinoate; Retinoic acid; Vitamin A acid; all-trans-Retinoate; Acide retinoique (French) (DSL); Tretinoine (French) (EINECS); 3";7-Dimethyl-9-(2;6;6-trimethyl-1-cyclohexene-1-yl)-2;4;6;"8-nonatetraenoic acid (ECL); (all-E)-3";7-Dimethyl-9-(2;6;6-trimethyl-1-cyclohexen-1-yl)-2;4;6;"8-nonatetraenoic acid; beta-Retinoic acid; AGN 100335; all-(E)-Retinoic acid; all-trans-beta-Retinoic acid; all-trans-Retinoic acid; all-trans-Tretinoin; all-trans-Vitamin A acid; Ro 1-5488; trans-Retinoic acid; Tretin M;"" all-trans-Vitamin A1 acid""""";302-79-4;4038;15 367 177 281;301.21621;299.20165;1.74;"hsa00830""; hsa04659; hsa04672; hsa05200; hsa05222; hsa05223; hsa05226";"Retinol metabolism; Th17 cell differentiation; Intestinal immune network for IgA production; Pathways in cancer; Small cell lung cancer; Non-small cell lung cancer; Gastric cancer";"Metabolism; Metabolism of cofactors and vitamins; Organismal Systems; Immune system; Human Diseases; Cancer: overview; Cancer: specific types;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;
Ellagic acid;NA;C10788;Ellagic acid;476-66-4;12971;4775;303.01354;300.99899;0;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
(-)-Scopolamine hydrochloride;NA;C01851;"Scopolamine; (-)-Hyoscine";51-34-3;4968;16 794 182 414;304.15433;302.13978;1.97;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
"Arachidonic acid,Arachidonate,C00219,""Arachidonate; Arachidonic acid; (5Z";8Z;11Z;"14Z)-Icosatetraenoic acid; cis-5";8;11;"14-Eicosatetraenoic acid; 5Z";8Z;11Z;"14Z-Eicosatetraenoic acid;"" (5Z";8Z;11Z;14Z)-Icosa-5;8;11;"14-tetraenoic acid""""";506-32-1;3519;15843;305.24751;303.23295;0;"hsa00590""; hsa00591; hsa01040; hsa04216; hsa04217; hsa04270; hsa04611; hsa04664; hsa04666; hsa04723; hsa04726; hsa04730; hsa04750; hsa04912; hsa04913; hsa04921; hsa04923; hsa04925; hsa05140; hsa05146";"Arachidonic acid metabolism; Linoleic acid metabolism; Biosynthesis of unsaturated fatty acids; Ferroptosis; Necroptosis; Vascular smooth muscle contraction; Platelet activation; Fc epsilon RI signaling pathway; Fc gamma R-mediated phagocytosis; Retrograde endocannabinoid signaling; Serotonergic synapse; Long-term depression; Inflammatory mediator regulation of TRP channels; GnRH signaling pathway; Ovarian steroidogenesis; Oxytocin signaling pathway; Regulation of lipolysis in adipocytes; Aldosterone synthesis and secretion; Leishmaniasis; Amoebiasis";"Metabolism; Lipid metabolism; Cellular Processes; Cell growth and death; Organismal Systems; Circulatory system; Immune system; Nervous system; Sensory system; Endocrine system; Human Diseases; Infectious disease: parasitic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
Glutathione;Glutathione;C00051;"Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione";70-18-8;3353;16856;308.09108;306.07653;8.36;"hsa00270; hsa00480; hsa02010; hsa04216; hsa04918; hsa04976; hsa05208; hsa05415";"Cysteine and methionine metabolism; Glutathione metabolism; ABC transporters; Ferroptosis; Thyroid hormone synthesis; Bile secretion; Chemical carcinogenesis - reactive oxygen species; Diabetic cardiomyopathy";"Metabolism; Amino acid metabolism; Metabolism of other amino acids; Environmental Information Processing; Membrane transport; Cellular Processes; Cell growth and death; Organismal Systems; Endocrine system; Digestive system; Human Diseases; Cancer: overview; Cardiovascular disease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
dUMP;dUMP;C00365;"dUMP; Deoxyuridylic acid; Deoxyuridine monophosphate; Deoxyuridine 5'-phosphate; 2'-Deoxyuridine 5'-phosphate";964-26-1;3656;17622;309.04823;307.03368;7.87;hsa00240;Pyrimidine metabolism;"Metabolism; Nucleotide metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
(-)-N-Acetylneuraminic acid;NA;NA;NA;NA;NA;NA;310.11326;308.0987;7.14;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
"Progesterone,Progesterone,C00410,""Progesterone;"" 4-Pregnene-3";"20-dione""""";57-83-0;3700;17026;315.23186;313.2173;1.82;"hsa00140""; hsa04080; hsa04114; hsa04913; hsa04914; hsa04917; hsa04925; hsa04927; hsa04934; hsa05200; hsa05207; hsa05215; hsa05224";"Steroid hormone biosynthesis; Neuroactive ligand-receptor interaction; Oocyte meiosis; Ovarian steroidogenesis; Progesterone-mediated oocyte maturation; Prolactin signaling pathway; Aldosterone synthesis and secretion; Cortisol synthesis and secretion; Cushing syndrome; Pathways in cancer; Chemical carcinogenesis - receptor activation; Prostate cancer; Breast cancer";"Metabolism; Lipid metabolism; Environmental Information Processing; Signaling molecules and interaction; Cellular Processes; Cell growth and death; Organismal Systems; Endocrine system; Human Diseases; Endocrine and metabolic disease; Cancer: overview; Cancer: specific types;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;
Decanoylcarnitine;Decanoic acid;C01571;"Decanoic acid; Decanoate; Decylic acid; n-Capric acid";334-48-5;4728;2 768 930 813;316.24824;314.23368;2.07;hsa00061;Fatty acid biosynthesis;"Metabolism; Lipid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Pregnenolone;Pregnenolone;C01953;"Pregnenolone; 5-Pregnen-3beta-ol-20-one; 3beta-Hydroxypregn-5-en-20-one";145-13-1;5056;16581;317.24751;315.23295;1.86;"hsa00140; hsa04913; hsa04925; hsa04927; hsa04934";"Steroid hormone biosynthesis; Ovarian steroidogenesis; Aldosterone synthesis and secretion; Cortisol synthesis and secretion; Cushing syndrome";"Metabolism; Lipid metabolism; Organismal Systems; Endocrine system; Human Diseases; Endocrine and metabolic disease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
